# Layer 3a -- Sink & Mitigation Inventory status and category-coverage record (Directive 4).
# Machine-readable key:value text (parse with grep/awk). ANSI-free. Generated by layer-3a-retag.sh.
# Per-category counts are 'non-test,test'. Categories with 0,0 are APPLICABLE to the JS/TS pattern
# column but genuinely absent in first-party source -- explicitly recorded, NEVER silently dropped.
# Test-path lines (predicate P: *.test.*, *.spec.*, *.e2e.*, *.e2e-spec.*, *-test.{ts,tsx,js,jsx,mts,cts},
# __tests__/, __mocks__/, __fixtures__/, fixtures/, test/, tests/, e2e/, mocks/, test-setup.*) are routed
# into the '-test.txt' variant of each pair; the SAME predicate governs the sink and mitigation pairs.
layer_3a_status: OK
coverage: complete
primary_language: typescript
sink_pattern_column: js/ts
mitigation_pattern_column: js/ts
sink_inventory_nontest_lines: 9083
sink_inventory_test_lines: 6888
mitigation_inventory_nontest_lines: 13933
mitigation_inventory_test_lines: 2082
sink_categories_total: 19
sink_categories_with_hits: 18
sink_categories_zero_hit: CWE-134
mitigation_categories_total: 9
mitigation_categories_with_hits: 9
mitigation_categories_zero_hit: none
# --- Cross-category analog mappings (sink-tag <-> Layer 3b taint CWE); see layer-3b-status.txt ---
# sendPayload.ts:349 is tagged [CWE-639] (Prisma/data-access sink token) but the Layer 3b taint
#   finding for that line is CWE-347 (Improper Verification of Cryptographic Signature). CWE-347 is
#   not one of the 19 sink categories, so the sink line is retained under its data-access tag and the
#   CWE-347 classification is recorded only at the taint layer.
# bookings.service.ts:1067 is tagged [CWE-117] (log-interpolation sink) and represents the CWE-134
#   (format-string) taint analog: CWE-134 is structurally inapplicable to TypeScript (no printf-family
#   format string), so it is a documented zero-hit sink category represented via the CWE-117 sink.
analog_cwe347_sink_line: ./packages/features/webhooks/lib/sendPayload.ts:349 (sink tag CWE-639)
analog_cwe134_sink_line: ./apps/api/v2/src/ee/bookings/2024-08-13/services/bookings.service.ts:1067 (sink tag CWE-117)
# --- Per-sink-category hit counts (CWE: non-test,test) ---
sink_count_CWE-601: 271,14
sink_count_CWE-918: 258,35
sink_count_CWE-117: 2872,456
sink_count_CWE-807: 421,0
sink_count_CWE-338: 59,59
sink_count_CWE-843: 264,1400
sink_count_CWE-862: 119,0
sink_count_CWE-79: 38,8
sink_count_CWE-134: 0,0
sink_count_CWE-250: 82,62
sink_count_CWE-912: 24,0
sink_count_CWE-1004: 10,4
sink_count_CWE-639: 3490,3915
sink_count_CWE-200: 61,5
sink_count_CWE-367: 17,0
sink_count_CWE-285: 900,822
sink_count_CWE-94: 44,21
sink_count_CWE-502: 151,87
sink_count_CWE-611: 2,0
# --- Per-mitigation-category hit counts (category: non-test,test) ---
mitigation_count_timing-safe: 3,0
mitigation_count_auth-middleware: 874,104
mitigation_count_rate-limiting: 253,183
mitigation_count_csrf-protection: 77,14
mitigation_count_webhook-signature: 26,7
mitigation_count_schema-validation: 9585,211
mitigation_count_input-sanitization: 82,14
mitigation_count_safe-query: 2873,1481
mitigation_count_crypto-protection: 160,68
